id,текст,правило,связанная_помощь
TT-OP-SEED-CANDIDATES,Число seed-кандидатов.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OP-SEED-CANDIDATES
TT-OP-SEED-CONDITIONS,Число seed-условий.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OP-SEED-CONDITIONS
TT-OP-FLUSH-EVERY,Через сколько строк worker записывает данные.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OP-FLUSH-EVERY
TT-OP-PROGRESS-EVERY,Как часто обновляется progress-файл.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OP-PROGRESS-EVERY
TT-OP-AUTO-REFRESH,Обновлять монитор выполнения автоматически.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OP-AUTO-REFRESH
TT-OP-REFRESH-SEC,Период обновления UI монитора.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OP-REFRESH-SEC
TT-OP-STOP-PEN-S1,Ранний stop для первой длинной стадии.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OP-STOP-PEN-S1
TT-OP-STOP-PEN-S2,Ранний stop для финальной стадии.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OP-STOP-PEN-S2
TT-OP-SORT-BY-COST,Сначала считать более дешёвые тесты.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OP-SORT-BY-COST
TT-OP-INFLUENCE-EPS,Относительный шаг для system influence.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OP-INFLUENCE-EPS
TT-OP-ADAPTIVE-EPS,Разрешить адаптивный eps_rel.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OP-ADAPTIVE-EPS
TT-OP-STAGE-POLICY,Как распределять budget и продвигать кандидатов.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OP-STAGE-POLICY
TT-OPD-BACKEND,Распределённый backend.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-BACKEND
TT-OPD-PROPOSER,Алгоритм предложения кандидатов.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-PROPOSER
TT-OPD-BUDGET,Общее число кандидатов.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-BUDGET
TT-OPD-MAX-INFLIGHT,Сколько задач может выполняться одновременно.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-MAX-INFLIGHT
TT-OPD-SEED,Повторяемость distributed coordinator.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-SEED
TT-OPD-PENALTY-KEY,Какой hard gate применить.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-PENALTY-KEY
TT-OPD-PENALTY-TOL,Порог hard gate.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-PENALTY-TOL
TT-OPD-OBJECTIVES,Список objective keys.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-OBJECTIVES
TT-OPD-HASH-MODE,Как формируется problem hash.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-HASH-MODE
TT-OPD-Q,Размер batch для proposer-а.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-Q
TT-OPD-DEVICE,Где считать proposer и модели.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-DEVICE
TT-OPD-DASK-MODE,Local или scheduler.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-DASK-MODE
TT-OPD-DASK-SCHEDULER,Адрес scheduler.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-DASK-SCHEDULER
TT-OPD-DASK-WORKERS,Количество Dask workers.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-DASK-WORKERS
TT-OPD-DASK-THREADS,Число потоков на worker.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-DASK-THREADS
TT-OPD-DASK-MEM,Лимит памяти на worker.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-DASK-MEM
TT-OPD-DASK-DASHBOARD,Адрес dashboard.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-DASK-DASHBOARD
TT-OPD-RAY-MODE,Local или cluster.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-RAY-MODE
TT-OPD-RAY-ADDRESS,Адрес Ray.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-RAY-ADDRESS
TT-OPD-RAY-CPUS,Сколько CPU взять локально.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-RAY-CPUS
TT-OPD-RAY-DASHBOARD,Включить dashboard.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-RAY-DASHBOARD
TT-OPD-RAY-DASHBOARD-PORT,Порт dashboard.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-RAY-DASHBOARD-PORT
TT-OPD-RUNTIME-ENV-MODE,Как формировать runtime_env.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-RUNTIME-ENV-MODE
TT-OPD-RUNTIME-ENV-JSON,Точный runtime_env.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-RUNTIME-ENV-JSON
TT-OPD-RUNTIME-EXCLUDE,Что исключить из runtime_env.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-RUNTIME-EXCLUDE
TT-OPD-EVALUATORS,Число evaluator-процессов.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-EVALUATORS
TT-OPD-CPUS-PER-EVAL,Число CPU на evaluator.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-CPUS-PER-EVAL
TT-OPD-PROPOSERS,Число proposer-процессов.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-PROPOSERS
TT-OPD-GPUS-PER-PROPOSER,Число GPU на proposer.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-GPUS-PER-PROPOSER
TT-OPD-PROPOSER-BUFFER,Число заранее подготовленных предложений.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-PROPOSER-BUFFER
TT-OPD-DB-PATH,Путь к ExperimentDB.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-DB-PATH
TT-OPD-DB-ENGINE,Тип базы данных.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-DB-ENGINE
TT-OPD-RESUME,Разрешить resume.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-RESUME
TT-OPD-RUN-ID,Явный run id.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-RUN-ID
TT-OPD-STALE-TTL,Через сколько секунд считать запись устаревшей.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-STALE-TTL
TT-OPD-HV-LOG,Включить историю hypervolume.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-HV-LOG
TT-OPD-EXPORT-EVERY,Частота экспортов промежуточных результатов.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-EXPORT-EVERY
TT-OPD-N-INIT,Число стартовых точек.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-N-INIT
TT-OPD-MIN-FEASIBLE,Минимум feasible точек до включения qNEHVI.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-MIN-FEASIBLE
TT-OPD-NUM-RESTARTS,Число перезапусков оптимизации acquisition function.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-NUM-RESTARTS
TT-OPD-RAW-SAMPLES,Число сырых sample-точек.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-RAW-SAMPLES
TT-OPD-MAXITER,Максимум итераций внутреннего оптимизатора.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-MAXITER
TT-OPD-REF-MARGIN,Margin для reference point.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-REF-MARGIN
TT-OPD-NORMALIZE,Нормализовать objectives.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-OPD-NORMALIZE
TT-MN-CURRENT-STAGE,Текущая стадия расчёта.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-MN-CURRENT-STAGE
TT-MN-STAGE-BUDGET,Бюджет времени текущей стадии.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-MN-STAGE-BUDGET
TT-MN-ELAPSED,Прошедшее время.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-MN-ELAPSED
TT-MN-LIVE-ROWS,Сколько строк уже записано.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-MN-LIVE-ROWS
TT-MN-CANDIDATE-COUNTS,Счётчики кандидатов по состояниям.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-MN-CANDIDATE-COUNTS
TT-MN-UNDERFILL,Недобор seed budget.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-MN-UNDERFILL
TT-MN-GATE-PREVIEW,Почему кандидаты не прошли.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-MN-GATE-PREVIEW
TT-MN-RUN-DIR,Где лежат артефакты.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-MN-RUN-DIR
TT-DG-INCLUDE-WORKSPACE,Добавлять ли workspace.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-DG-INCLUDE-WORKSPACE
TT-DG-INCLUDE-ROADS,Добавлять ли профили дорог и манёвров.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-DG-INCLUDE-ROADS
TT-DG-INCLUDE-OPT-RUNS,Добавлять ли каталоги оптимизации.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-DG-INCLUDE-OPT-RUNS
TT-DG-INCLUDE-EXPORTS,Добавлять ли exports.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-DG-INCLUDE-EXPORTS
TT-DG-INCLUDE-PERF,Добавлять ли trace производительности.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-DG-INCLUDE-PERF
TT-DG-RETENTION-DAYS,Сколько суток хранить старые архивы.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-DG-RETENTION-DAYS
TT-DG-MAX-SIZE,Лимит размера архива.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-DG-MAX-SIZE
TT-DG-NAMING,Шаблон имени архива.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-DG-NAMING
TT-DG-LAST-PATH,Путь к последнему архиву.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-DG-LAST-PATH
TT-DG-LAST-TIME,Когда последний раз успешно собран архив.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-DG-LAST-TIME
TT-DG-FRESHNESS,Возраст последнего архива.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-DG-FRESHNESS
TT-DG-AUTOSAVE-EXIT,Сохранять пакет при штатном выходе.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-DG-AUTOSAVE-EXIT
TT-DG-AUTOSAVE-CRASH,Сохранять пакет при аварии.,"Одна короткая фраза, единица измерения обязательна для числового поля.",HELP-DG-AUTOSAVE-CRASH
TT-SH-TITLEBAR-ICON,Иконка окна,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-SH-TITLEBAR-ICON
TT-SH-TITLEBAR-TEXT,Заголовок окна и документа,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-SH-TITLEBAR-TEXT
TT-SH-TITLEBAR-STATE,Подзаголовок состояния окна,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-SH-TITLEBAR-STATE
TT-SH-CMD-UNDO,Отменить действие (Ctrl+Z),"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-SH-CMD-UNDO
TT-SH-CMD-REDO,Повторить действие (Ctrl+Y),"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-SH-CMD-REDO
TT-SH-MESSAGE-BAR,Строка сообщений,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-SH-MESSAGE-BAR
TT-SH-LEFT-SPLITTER,Левый splitter,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-SH-LEFT-SPLITTER
TT-SH-RIGHT-SPLITTER,Правый splitter,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-SH-RIGHT-SPLITTER
TT-SH-BOTTOM-SPLITTER,Нижний splitter,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-SH-BOTTOM-SPLITTER
TT-SH-SCROLL-CENTER-V,Вертикальный скролл центральной области,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-SH-SCROLL-CENTER-V
TT-SH-SCROLL-INSPECTOR-V,Вертикальный скролл правой панели,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-SH-SCROLL-INSPECTOR-V
TT-SH-SCROLL-GRID-H,Горизонтальный скролл таблиц,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-SH-SCROLL-GRID-H
TT-RG-EMPTY-SCENARIO-STATE,Пустое состояние сценариев,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-RG-EMPTY-SCENARIO-STATE
TT-RG-START-END-LOCK-BANNER,Баннер автозамыкания кольца,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-RG-START-END-LOCK-BANNER
TT-OP-OBJECTIVE-MISMATCH-BANNER,Баннер расхождения контрактов оптимизации,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-OP-OBJECTIVE-MISMATCH-BANNER
TT-OP-STAGE-POLICY-SUMMARY,Сводка stage policy,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-OP-STAGE-POLICY-SUMMARY
TT-RS-COMPARE-PICKER,Селектор сравнения прогонов,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-RS-COMPARE-PICKER
TT-AM-PLAY-PAUSE,Запуск и пауза анимации (Пробел),"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-AM-PLAY-PAUSE
TT-AM-PLAYBACK-SPEED,Скорость проигрывания,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-AM-PLAYBACK-SPEED
TT-AM-TIME-READOUT,Текущее время анимации,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-AM-TIME-READOUT
TT-AM-GROUND-PLANE,Фоновая плоскость сцены,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-AM-GROUND-PLANE
TT-AM-SELECTION-SYNC,Синхронизация выбора со сценой,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-AM-SELECTION-SYNC
TT-DG-BUNDLE-CONTENTS,Состав диагностического пакета,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-DG-BUNDLE-CONTENTS
TT-DG-LAST-BUNDLE-CARD,Карточка последнего диагностического архива,"Одна короткая фраза, при необходимости единица измерения и сочетание клавиш.",HELP-DG-LAST-BUNDLE-CARD
