id,название,структура_развёрнутого_описания
HELP-RG-SEAM-DIAGNOSTICS,Диагностика замыкания,"{'что_это': 'Диагностика замыкания', 'зачем_нужно': 'Ошибки и предупреждения замыкания кольца.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-RG-BTN-GENERATE-PREVIEW,Сгенерировать предварительный просмотр,"{'что_это': 'Сгенерировать предварительный просмотр', 'зачем_нужно': 'Собрать превью road_csv и scenario_json без добавления в испытания.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-RG-BTN-ADD-TO-SUITE,Добавить в испытания,"{'что_это': 'Добавить в испытания', 'зачем_нужно': 'Подтверждённо добавить сценарий в матрицу испытаний.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-TS-FILTER-TYPE,Фильтр по типу испытания,"{'что_это': 'Фильтр по типу испытания', 'зачем_нужно': 'Фильтрует строки по типу испытания.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-TS-FILTER-STAGE,Фильтр по стадии,"{'что_это': 'Фильтр по стадии', 'зачем_нужно': 'Фильтрует строки по стадии первого входа.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-TS-FILTER-TEXT,Поиск испытания,"{'что_это': 'Поиск испытания', 'зачем_нужно': 'Поиск по имени испытания и связанному сценарию.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-TS-BTN-ADD-FROM-RING,Добавить из редактора кольца,"{'что_это': 'Добавить из редактора кольца', 'зачем_нужно': 'Добавляет сценарий из редактора кольца.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-TS-BTN-ADD-TEMPLATE,Добавить шаблон испытания,"{'что_это': 'Добавить шаблон испытания', 'зачем_нужно': 'Добавляет испытание без дорожного сценария: inertia, bump и другие шаблоны.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-TS-TABLE,Таблица испытаний,"{'что_это': 'Таблица испытаний', 'зачем_нужно': 'Канонический список испытаний.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-TS-VALIDATION-SUMMARY,Сводка валидации набора,"{'что_это': 'Сводка валидации набора', 'зачем_нужно': 'Ошибки и предупреждения suite.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-TS-BTN-VALIDATE,Проверить набор испытаний,"{'что_это': 'Проверить набор испытаний', 'зачем_нужно': 'Запускает полную валидацию набора испытаний.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-TS-BTN-RUN-BASELINE,Запустить базовый прогон,"{'что_это': 'Запустить базовый прогон', 'зачем_нужно': 'Переход к baseline с текущим набором испытаний.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-TS-EXPORT-IMPORT,Импорт и экспорт набора испытаний,"{'что_это': 'Импорт и экспорт набора испытаний', 'зачем_нужно': 'Импорт и экспорт JSON набора испытаний.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-BL-CONTRACT-CARD,Карточка контракта baseline,"{'что_это': 'Карточка контракта baseline', 'зачем_нужно': 'Показывает модель, suite, baseline source и каталог результатов.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-BL-BTN-RUN,Запустить базовый прогон,"{'что_это': 'Запустить базовый прогон', 'зачем_нужно': 'Запускает baseline.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-BL-BTN-ACCEPT,Принять результат как baseline,"{'что_это': 'Принять результат как baseline', 'зачем_нужно': 'Принимает выбранный результат как baseline.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-BL-CURRENT-BASELINE,Текущий baseline,"{'что_это': 'Текущий baseline', 'зачем_нужно': 'Текущий baseline, KPI и отметка времени.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-BL-HISTORY-TABLE,История baseline,"{'что_это': 'История baseline', 'зачем_нужно': 'История baseline и принятых результатов.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-BL-RESULT-SNAPSHOT,Снимок результата,"{'что_это': 'Снимок результата', 'зачем_нужно': 'Сводный preview последнего baseline-run с KPI и мини-графиками.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OP-MODE-SELECT,Выбор активного режима оптимизации,"{'что_это': 'Выбор активного режима оптимизации', 'зачем_нужно': 'StageRunner или distributed coordinator. Активен только один режим.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OP-OBJECTIVE-STACK,Редактор стека целей,"{'что_это': 'Редактор стека целей', 'зачем_нужно': 'Редактирование objective stack.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OP-HARD-GATE,Редактор жёсткого ограничения,"{'что_это': 'Редактор жёсткого ограничения', 'зачем_нужно': 'Выбор hard gate и допуска.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OP-BASELINE-SOURCE,Источник baseline и политика обновления,"{'что_это': 'Источник baseline и политика обновления', 'зачем_нужно': 'Какой baseline используется и обновлять ли его автоматически.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OP-STAGERUNNER-BLOCK,Блок настроек StageRunner,"{'что_это': 'Блок настроек StageRunner', 'зачем_нужно': 'Настройки рекомендуемого staged pipeline.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OP-DISTRIBUTED-BLOCK,Блок distributed coordinator,"{'что_это': 'Блок distributed coordinator', 'зачем_нужно': 'Настройки распределённого режима.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OP-HISTORY-SHORTLIST,Краткая история запусков,"{'что_это': 'Краткая история запусков', 'зачем_нужно': 'Краткая история запусков с objective contract.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OP-RESUME-BLOCK,Resume и диагностика запуска,"{'что_это': 'Resume и диагностика запуска', 'зачем_нужно': 'Resume, run id, каталог запуска, состояние предыдущего запуска.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OP-RUN-PREVIEW,Предпросмотр запуска,"{'что_это': 'Предпросмотр запуска', 'зачем_нужно': 'Показывает, что именно будет запущено: active mode, suite, baseline, objective contract, hard gate, estimated stage budgets.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OP-BTN-LAUNCH,Главная кнопка запуска оптимизации,"{'что_это': 'Главная кнопка запуска оптимизации', 'зачем_нужно': 'Запустить StageRunner или distributed coordinator в зависимости от active mode.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OP-BTN-OPEN-MONITOR,Открыть монитор выполнения,"{'что_это': 'Открыть монитор выполнения', 'зачем_нужно': 'Открыть единый монитор выполнения.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-OP-BTN-OPEN-RESULTS,Открыть результаты последнего запуска,"{'что_это': 'Открыть результаты последнего запуска', 'зачем_нужно': 'Открыть центр результатов.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-MN-STAGE-HERO,Hero текущей стадии,"{'что_это': 'Hero текущей стадии', 'зачем_нужно': 'Название стадии, номер, бюджет, elapsed и активный режим.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-MN-PROGRESS-BAR,Главный индикатор прогресса,"{'что_это': 'Главный индикатор прогресса', 'зачем_нужно': 'Главный индикатор прогресса.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-MN-CURRENT-STAGE-TABLE,Текущая стадия,"{'что_это': 'Текущая стадия', 'зачем_нужно': 'Строки текущей стадии.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-MN-COMBINED-TABLE,Сводная таблица,"{'что_это': 'Сводная таблица', 'зачем_нужно': 'Сводная таблица результатов по завершённым и текущей стадиям.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-MN-GATE-REASONS,Причины gate и underfill,"{'что_это': 'Причины gate и underfill', 'зачем_нужно': 'Причины отказов, underfill, promotion blocked reasons.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-MN-LIVE-LOG,Живой журнал,"{'что_это': 'Живой журнал', 'зачем_нужно': 'Последние события и ссылки на run directory.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-MN-BTN-STOP,Остановить расчёт,"{'что_это': 'Остановить расчёт', 'зачем_нужно': 'Безопасная остановка расчёта.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-MN-BTN-OPEN-RUN-DIR,Открыть каталог запуска,"{'что_это': 'Открыть каталог запуска', 'зачем_нужно': 'Открыть каталог run.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-MN-BTN-OPEN-RESULTS,Открыть результаты,"{'что_это': 'Открыть результаты', 'зачем_нужно': 'Перейти к центру результатов.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-RS-LEADERBOARD,Лидерборд запусков,"{'что_это': 'Лидерборд запусков', 'зачем_нужно': 'Таблица run-ов с KPI, objective contract и статусом.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-RS-KPI-CARD-1,Карточка KPI комфорта,"{'что_это': 'Карточка KPI комфорта', 'зачем_нужно': 'Ключевая метрика комфорта.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-RS-KPI-CARD-2,Карточка KPI крена,"{'что_это': 'Карточка KPI крена', 'зачем_нужно': 'Ключевая метрика боковой реакции.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-RS-KPI-CARD-3,Карточка KPI энергии,"{'что_это': 'Карточка KPI энергии', 'зачем_нужно': 'Ключевая метрика энергии.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-RS-COMPARE-CHART,График сравнения baseline и выбранного run,"{'что_это': 'График сравнения baseline и выбранного run', 'зачем_нужно': 'Основной график сравнения.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
HELP-RS-METRIC-TABLE,Таблица итоговых метрик,"{'что_это': 'Таблица итоговых метрик', 'зачем_нужно': 'Итоговая таблица метрик выбранного run и baseline.', 'как_влияет_на_поток': 'Элемент участвует в каноническом pipeline и не должен быть скрытым способом доступа к критичной функции.', 'единицы_измерения_если_применимо': 'Определяются контекстом выбранного поля или объекта.', 'ограничения_и_валидация': 'Берутся из source-of-truth выбранного поля, объекта или режима.', 'связанные_элементы': [], 'где_пользователь_видит_результат': 'В связанном preview, inspector, run-monitor, анализе или аниматоре.'}"
